1	60	Rent Expense	6/3/2006 16:32:15:17	6/3/2006 16:32:15:17	DBA
2	60	Salary Expense	6/3/2006 16:32:36:78	6/3/2006 16:32:36:78	DBA
3	60	Utilities Expense	6/3/2006 16:32:55:983	6/3/2006 16:32:55:983	DBA
4	60	Depreciation Expense	6/3/2006 16:33:11:153	6/3/2006 16:33:11:153	DBA
5	60	Travel Expense	6/3/2006 16:33:28:67	6/3/2006 16:33:28:67	DBA
6	60	Food Expense	6/3/2006 16:33:44:45	6/3/2006 16:33:44:45	DBA
7	60	Airline Expense	6/3/2006 16:34:14:53	6/3/2006 16:34:14:53	DBA
8	60	Medical Expense	6/3/2006 16:35:08:5	6/3/2006 16:35:08:5	DBA
9	60	Car Rental Expense	6/3/2006 16:35:17:606	6/3/2006 16:35:17:606	DBA
10	60	Laundry Expense	6/3/2006 16:35:47:34	6/3/2006 16:35:47:34	DBA
11	60	Entertainment Expense	6/3/2006 16:36:05:17	6/3/2006 16:36:05:17	DBA
12	60	Gas (Automobile) Expense	6/3/2006 16:36:29:233	6/3/2006 16:36:29:233	DBA
13	60	Insurance Expense	6/3/2006 16:37:14:326	6/3/2006 16:37:14:326	DBA
14	60	Lease Expense	6/3/2006 16:37:42:67	6/3/2006 16:37:42:67	DBA
15	60	Miscellaneous Expense	6/3/2006 16:38:34:543	6/3/2006 16:38:34:543	DBA
16	60	Office Equipment	6/3/2006 16:38:48:263	6/3/2006 16:38:48:263	DBA
17	60	Parking	6/3/2006 16:39:04:95	6/3/2006 16:39:04:95	DBA
18	60	Supplies Expense	6/3/2006 16:39:30:14	6/3/2006 16:39:30:14	DBA
19	60	Telephone (Mobile) Expense	6/3/2006 16:40:11:56	6/3/2006 16:40:11:56	DBA
20	60	Telephone (LAN) Expense	6/3/2006 16:40:25:06	6/3/2006 16:40:25:06	DBA
21	60	Trade Magazine - Book Expense	6/3/2006 16:40:54:89	6/3/2006 16:40:54:89	DBA
22	60	Ineternet Expense	6/3/2006 16:41:11:966	6/3/2006 16:41:11:966	DBA
23	60	Bank Service Charge Expense	6/3/2006 16:41:33:78	6/3/2006 16:41:33:78	DBA
24	60	Toll Expense	6/3/2006 16:41:44:106	6/3/2006 16:41:44:106	DBA
25	60	Tools Expense	6/3/2006 16:41:44:106	6/3/2006 16:41:44:106	DBA
26	180	Salary Expense	6/3/2006 16:32:36:78	6/3/2006 16:32:36:78	DBA
27	180	Utilities Expense	6/3/2006 16:32:55:983	6/3/2006 16:32:55:983	DBA
28	180	Depreciation Expense	6/3/2006 16:33:11:153	6/3/2006 16:33:11:153	DBA
29	180	Travel Expense	6/3/2006 16:33:28:67	6/3/2006 16:33:28:67	DBA
30	180	Food Expense	6/3/2006 16:33:44:45	6/3/2006 16:33:44:45	DBA
31	180	Airline Expense	6/3/2006 16:34:14:53	6/3/2006 16:34:14:53	DBA
32	180	Medical Expense	6/3/2006 16:35:08:5	6/3/2006 16:35:08:5	DBA
33	180	Car Rental Expense	6/3/2006 16:35:17:606	6/3/2006 16:35:17:606	DBA
34	180	Laundry Expense	6/3/2006 16:35:47:34	6/3/2006 16:35:47:34	DBA
35	180	Entertainment Expense	6/3/2006 16:36:05:17	6/3/2006 16:36:05:17	DBA
36	180	Gas (Automobile) Expense	6/3/2006 16:36:29:233	6/3/2006 16:36:29:233	DBA
37	180	Insurance Expense	6/3/2006 16:37:14:326	6/3/2006 16:37:14:326	DBA
38	180	Lease Expense	6/3/2006 16:37:42:67	6/3/2006 16:37:42:67	DBA
39	180	Miscellaneous Expense	6/3/2006 16:38:34:543	6/3/2006 16:38:34:543	DBA
40	180	Office Equipment	6/3/2006 16:38:48:263	6/3/2006 16:38:48:263	DBA
41	180	Parking	6/3/2006 16:39:04:95	6/3/2006 16:39:04:95	DBA
42	180	Supplies Expense	6/3/2006 16:39:30:14	6/3/2006 16:39:30:14	DBA
43	180	Telephone (Mobile) Expense	6/3/2006 16:40:11:56	6/3/2006 16:40:11:56	DBA
44	180	Telephone (LAN) Expense	6/3/2006 16:40:25:06	6/3/2006 16:40:25:06	DBA
45	180	Trade Magazine - Book Expense	6/3/2006 16:40:54:89	6/3/2006 16:40:54:89	DBA
46	180	Ineternet Expense	6/3/2006 16:41:11:966	6/3/2006 16:41:11:966	DBA
47	180	Bank Service Charge Expense	6/3/2006 16:41:33:78	6/3/2006 16:41:33:78	DBA
48	180	Toll Expense	6/3/2006 16:41:44:106	6/3/2006 16:41:44:106	DBA
49	180	Tools Expense	6/3/2006 16:41:44:106	6/3/2006 16:41:44:106	DBA
50	60	Returns and Allowances Expense	6/3/2006 16:41:44:106	6/3/2006 16:41:44:106	DBA
51	180	Returns and Allowances Expense	6/3/2006 16:41:44:106	6/3/2006 16:41:44:106	DBA
52	60	Discount Expense	6/3/2006 16:41:44:106	6/3/2006 16:41:44:106	DBA
53	180	Discount Expense	6/3/2006 16:41:44:106	6/3/2006 16:41:44:106	DBA
