1	Bad Debt Expense Transaction	BADDEBT
2	Cash Receipts Transaction	CASHRECT
3	Cash Disbursement Transaction	CASHPAY
4	Credit Sales Transaction	CREDSALES
6	Fee Transactions	FEES
7	Interest Transactions	INTEREST
8	Purchase Transactions	PURCH
9	Sales Returns Transactions	SALESRET
10	Bank Deposit Transactions	DEPOSIT
11	Bank Withdrawal Transactions	WITHDRAW
12	Write Offs Transactions	WRITEOFF
13	Purchases Returns Transactions	PURCHRTN
14	Sales Discount Transactions	SALESDISC
15	Purchases Discount Transactions	PURCHDISC
16	Sale of Merchandise	MNDSESALES
17	Transaction Reversal	REVERSAL
18	Transaction Cancellation	CANCEL
19	Transaction Finalized	FINAL
