AP	0	Unknown State	n
AA	0	Unknown State	n
AE	0	Unknown State	n
AB	2	Alberta	n
AK	1	Alaska	n
AL	1	Alabama	n
AR	1	Arkansas	n
AS	1	American Samoa	n
AZ	1	Arizona	n
BC	2	British Columbia	n
CA	1	California	n
CN	1	Canada	n
CO	1	Colorado	n
CT	1	Connecticut	n
CZ	1	Canal Zone	n
DC	1	District Of Columbia	n
DE	1	Delaware	n
FL	1	Florida	n
FM	1	Federated States Of Micro	n
GA	1	Georgia	n
GU	1	Guam	n
HI	1	Hawaii	n
IA	1	Iowa	n
ID	1	Idaho	n
IL	1	Illinois	n
IN	1	Indiana	n
KS	1	Kansas	n
KY	1	Kentucky	n
LA	1	Louisiana	n
MA	1	Massachusetts	n
MB	2	Manitoba	n
MD	1	Maryland	n
ME	1	Maine	n
MH	1	Marshall Islands	n
MI	1	Michigan	n
MN	1	Minnesota	n
MO	1	Missouri	n
MP	1	Northern Mariana Islands	n
MS	1	Mississippi	n
MT	1	Montana	n
NB	2	New Brunswick	n
NC	1	North Carolina	n
ND	1	North Dakota	n
NE	1	Nebraska	n
NF	2	Newfoundland	n
NH	1	New Hampshire	n
NJ	1	New Jersey	n
NM	1	New Mexico	n
NS	2	Nova Scotia	n
NT	2	Northwest Territories	n
NU	2	Nunavut	n
NV	1	Nevada	n
NY	1	New York	n
OH	1	Ohio	n
OK	1	Oklahoma	n
ON	2	Ontario	n
OR	1	Oregon	n
PA	1	Pennsylvania	n
PE	2	Prince Edward Island	n
PQ	2	Quebec	n
PR	1	Puerto Rico	n
PW	1	Palau	n
QU	2	Quebec	n
RI	1	Rhode Island	n
SC	1	South Carolina	n
SD	1	South Dakota	n
SK	2	Saskatchewan	n
TN	1	Tennessee	n
TX	1	Texas	n
UT	1	Utah	n
VA	1	Virginia	n
VI	1	Virgin Islands	n
VT	1	Vermont	n
WA	1	Washington	n
WI	1	Wisconsin	n
WV	1	West Virginia	n
WY	1	Wyoming	n
YT	2	Yukon	n
